country,currentCases,previousCases,changePercentage,currentCasesPop,currentDeaths,previousDeaths,deathChange,deathPop,population
Anguilla,21,19,11,1379,0,0,0,0.0,15232
Antigua and Barbuda,7,11,-36,70,0,0,0,0.0,99315
Aruba,47,64,-27,437,0,0,0,0.0,107541
Bahamas,17,25,-32,43,2,0,200,5.0,399668
Barbados,738,909,-19,2563,3,5,-40,10.0,287977
Belize,109,158,-31,266,2,1,100,5.0,409963
Bermuda,244,216,13,3943,2,1,100,32.0,61885
British Virgin Islands,0,13,-100,0,0,0,0,0.0,30575
Canada,36893,38742,-5,963,291,340,-14,8.0,38307887
Caribbean Netherlands,125,2,6150,4692,0,0,0,0.0,26640
Cayman Islands,0,60,-100,0,5,0,500,75.0,67041
Costa Rica,5485,7970,-31,1060,55,74,-26,11.0,5173643
Cuba,4457,3755,19,394,3,4,-25,0.3,11314795
Curaçao,394,326,21,2384,0,1,-100,0.0,165240
Dominica,222,254,-13,3071,0,1,-100,0.0,72292
Dominican Republic,950,484,96,86,1,3,-67,0.1,11033878
El Salvador,4688,0,468800,717,14,9,56,2.0,6542161
Greenland,70,50,40,1229,0,0,0,0.0,56938
Grenada,246,0,24600,2169,1,0,100,9.0,113414
Guadeloupe,0,1964,-100,0,0,6,-100,0.0,400241
Guatemala,11067,12765,-13,599,87,71,23,5.0,18481891
Haiti,32,61,-48,3,0,4,-100,0.0,11640137
Honduras,1571,3030,-48,154,23,49,-53,2.0,10173838
Jamaica,146,188,-22,49,19,19,0,6.0,2983265
Martinique,9660,10270,-6,25776,5,5,0,13.0,374767
Mexico,30530,44892,-32,233,1080,1247,-13,8.0,131248472
Montserrat,8,2,300,1601,0,0,0,0.0,4997
Nicaragua,87,98,-11,13,1,1,0,0.1,6759282
Panama,1543,1974,-22,348,21,21,0,5.0,4430853
Saint Kitts and Nevis,4,4,0,74,0,0,0,0.0,53842
Saint Lucia,45,100,-55,243,0,5,-100,0.0,185062
Saint Pierre Miquelon,377,214,76,65611,0,0,0,0.0,5746
Sint Maarten,36,32,13,824,0,0,0,0.0,43708
St. Vincent Grenadines,3,0,300,27,0,0,0,0.0,111542
Trinidad and Tobago,2170,2745,-21,1542,27,29,-7,19.0,1407236
Turks and Caicos,0,7,-100,0,0,0,0,0.0,39612
USA,185761,245308,-24,556,5420,8060,-33,16.0,334321197
Argentina,36330,35868,1,791,361,414,-13,8.0,45904781
Bolivia,2426,2547,-5,203,9,18,-50,0.8,11945187
Brazil,266887,317327,-16,1241,2164,3005,-28,10.0,215142671
Chile,95205,117381,-19,4908,619,830,-25,32.0,19396733
Colombia,4256,5717,-26,82,151,246,-39,3.0,51810017
Ecuador,516,8483,-94,29,1,39,-97,0.1,18100947
Falkland Islands,0,3,-100,0,0,0,0,0.0,3653
French Guiana,251,293,-14,805,0,1,-100,0.0,311906
Guyana,56,87,-36,71,2,1,100,3.0,793041
Paraguay,1200,2149,-44,165,48,69,-30,7.0,7282302
Peru,5067,11222,-55,150,332,487,-32,10.0,33756916
Suriname,176,286,-38,295,3,3,0,5.0,595618
Uruguay,11039,10195,8,3159,44,50,-12,13.0,3494313
Venezuela,1255,1725,-27,44,10,10,0,0.4,28298183
